
Sr.No,Correct,Incorrect
201,इशारा,इषारा
202,दृश्य,दुष्य
203,लेश,लेष
204,विशद,विषद
205,विषाद,विशाद
206,विशेष,विषेश
207,शुश्रूषा,सुश्रुषा
208,पारंपरिक,पारंपारिक
209,प्रतीक्षा ,प्रतिक्षा 
210,अलीकडे ,अलिकडे 
211,आवश्यक ,अवश्यक 
212,अधीन ,आधीन 
213,अंग ,आंग 
214,इस्त्री,ईस्त्री
215,इयत्ता  ,ईयत्ता  
216,उच्च ,उच्य 
217,उग्र ,ऊग्र 
218,उद्योगीकरण ,औद्योगीकरण 
219,खाऊन ,खावून 
220,जेवून ,जेऊन 
221,सशाचा ,ससाचा 
222,दक्षिणा ,दक्षणा 
223,दूर्वा ,दुर्वा 
224,वाङ्मय ,वांग्मय 
225,विनंती ,विनंति  
