word,count,str_sandhi_rachana
अणुसुरक्षेसह,1,अ + ण + ु + स + ु + र् + अ + क् + ष + े + स् + अ + ह् + अ
अणुसुरक्षेसाठी,2,अ + ण + ु + स + ु + र् + अ + क् + ष + े + स + ा + ठ + ी
अणू,3,अ + ण + ू
अणे,13,अ + ण + े
अणेंचा,1,अ + ण + े + ं + च + ा
अणेंच्या,1,अ + ण + े + ं + च् + य + ा
अणेंनी,1,अ + ण + े + ं + न + ी
अणेंवर,2,अ + ण + े + ं + व् + अ + र् + अ
अणेही,4,अ + ण + े + ह + ी
अण्णा,4,अ + ण् + ण + ा
अण्णांचा,2,अ + ण् + ण + ा + ं + च + ा
अण्वस्त्र,4,अ + ण् + व् + अ + स् + त् + र् + अ
अण्वस्त्रसाठा,2,अ + ण् + व् + अ + स् + त् + र् + अ + स + ा + ठ + ा
अण्वस्त्रांची,2,अ + ण् + व् + अ + स् + त् + र + ा + ं + च + ी
अण्वस्त्रे,7,अ + ण् + व् + अ + स् + त् + र + े
अतिथिगृहाकडे,1,अ + त + ि + थ + ि + ग + ृ + ह + ा + क् + अ + ड + े
अतिरिक्त,4,अ + त + ि + र + ि + क् + त् + अ
अतिरेकी,1,अ + त + ि + र + े + क + ी
अतिशय,7,अ + त + ि + श् + अ + य् + अ
अतिसंवेदनक्षम,1,अ + त + ि + स + ं + व + े + द् + अ + न् + अ + क् + ष् + अ + म् + अ
अत्यंत,5,अ + त् + य + ं + त् + अ
अत्याचारांचे,1,अ + त् + य + ा + च + ा + र + ा + ं + च + े
अत्याधुनिक,1,अ + त् + य + ा + ध + ु + न + ि + क् + अ
अथवा,5,अ + थ् + अ + व + ा
अदूर,2,अ + द + ू + र् + अ
अद्ययावत,1,अ + द् + य् + अ + य + ा + व् + अ + त् + अ
अद्याप,7,अ + द् + य + ा + प् + अ
अद्यापही,4,अ + द् + य + ा + प् + अ + ह + ी
अधिक,17,अ + ध + ि + क् + अ
अधिकाधिक,1,अ + ध + ि + क + ा + ध + ि + क् + अ
अधिकायांनी,1,अ + ध + ि + क + ा + य + ा + ं + न + ी
अधिकायाने,2,अ + ध + ि + क + ा + य + ा + न + े
अधिकार,16,अ + ध + ि + क + ा + र् + अ
अधिकारांचा,1,अ + ध + ि + क + ा + र + ा + ं + च + ा
अधिकारात,1,अ + ध + ि + क + ा + र + ा + त् + अ
अधिकारातील,2,अ + ध + ि + क + ा + र + ा + त + ी + ल् + अ
अधिकारी,13,अ + ध + ि + क + ा + र + ी
अधिका्यांची,3,अ + ध + ि + क + ा् + य + ा + ं + च + ी
अधिका्यांन,1,अ + ध + ि + क + ा् + य + ा + ं + न् + अ
अधिका्यांना,4,अ + ध + ि + क + ा् + य + ा + ं + न + ा
अधिका्यांनी,13,अ + ध + ि + क + ा् + य + ा + ं + न + ी
अधिका्यांवर,5,अ + ध + ि + क + ा् + य + ा + ं + व् + अ + र् + अ
अधिका्यांशी,3,अ + ध + ि + क + ा् + य + ा + ं + श + ी
अधिका्यांसह,1,अ + ध + ि + क + ा् + य + ा + ं + स् + अ + ह् + अ
अधिका्याचा,2,अ + ध + ि + क + ा् + य + ा + च + ा
अधिका्याची,3,अ + ध + ि + क + ा् + य + ा + च + ी
अधिका्याने,4,अ + ध + ि + क + ा् + य + ा + न + े
अधिकृत,4,अ + ध + ि + क + ृ + त् + अ
अधिवेशन,6,अ + ध + ि + व + े + श् + अ + न् + अ
अधिवेशनाचा,4,अ + ध + ि + व + े + श् + अ + न + ा + च + ा
अधिवेशनात,1,अ + ध + ि + व + े + श् + अ + न + ा + त् + अ
अधिवेशनावर,1,अ + ध + ि + व + े + श् + अ + न + ा + व् + अ + र् + अ
अधिसूचना,2,अ + ध + ि + स + ू + च् + अ + न + ा
अधिसूचनेत,1,अ + ध + ि + स + ू + च् + अ + न + े + त् + अ
अधिसूचित,2,अ + ध + ि + स + ू + च + ि + त् + अ
अधीक्षक,3,अ + ध + ी + क् + ष् + अ + क् + अ
अधीक्षकाविरुद्ध,1,अ + ध + ी + क् + ष् + अ + क + ा + व + ि + र + ु + द् + ध् + अ
अधोरेखित,1,अ + ध + ो + र + े + ख + ि + त् + अ
अध्यक्,1,अ + ध् + य् + अ + क्
अध्यक्ष,47,अ + ध् + य् + अ + क् + ष् + अ
अध्यक्षतेखाली,1,अ + ध् + य् + अ + क् + ष् + अ + त + े + ख + ा + ल + ी
अध्यक्षतेखालील,5,अ + ध् + य् + अ + क् + ष् + अ + त + े + ख + ा + ल + ी + ल् + अ
अध्यक्षपद,1,अ + ध् + य् + अ + क् + ष् + अ + प् + अ + द् + अ
अध्यक्षपदावरून,1,अ + ध् + य् + अ + क् + ष् + अ + प् + अ + द + ा + व् + अ + र + ू + न् + अ
अध्यक्षपदासाठी,2,अ + ध् + य् + अ + क् + ष् + अ + प् + अ + द + ा + स + ा + ठ + ी
अध्यक्षपदी,12,अ + ध् + य् + अ + क् + ष् + अ + प् + अ + द + ी
अध्यक्षा,7,अ + ध् + य् + अ + क् + ष + ा
अध्यक्षांचे,1,अ + ध् + य् + अ + क् + ष + ा + ं + च + े
अध्यक्षांनी,4,अ + ध् + य् + अ + क् + ष + ा + ं + न + ी
अध्यक्षीय,3,अ + ध् + य् + अ + क् + ष + ी + य् + अ
अध्यादेश,9,अ + ध् + य + ा + द + े + श् + अ
अध्यादेशाला,2,अ + ध् + य + ा + द + े + श + ा + ल + ा
अनाकलनीय,3,अ + न + ा + क् + अ + ल् + अ + न + ी + य् + अ
अनादर,2,अ + न + ा + द् + अ + र् + अ
अनार,1,अ + न + ा + र् + अ
अनावश्यक,4,अ + न + ा + व् + अ + श् + य् + अ + क् + अ
अनियमितता,2,अ + न + ि + य् + अ + म + ि + त् + अ + त + ा
अनियोजित,1,अ + न + ि + य + ो + ज + ि + त् + अ
अनिल,2,अ + न + ि + ल् + अ
अनिवासी,1,अ + न + ि + व + ा + स + ी
अनुक्रमे,2,अ + न + ु + क् + र् + अ + म + े
अनुत्पादक,1,अ + न + ु + त् + प + ा + द् + अ + क् + अ
अनुदानाचा,1,अ + न + ु + द + ा + न + ा + च + ा
अनुनय,1,अ + न + ु + न् + अ + य् + अ
अनुपस्थित,1,अ + न + ु + प् + अ + स् + थ + ि + त् + अ
अनुपस्थिती,1,अ + न + ु + प् + अ + स् + थ + ि + त + ी
अनुमती,5,अ + न + ु + म् + अ + त + ी
अनुमोदन,1,अ + न + ु + म + ो + द् + अ + न् + अ
अनुवांशिकरित्या,1,अ + न + ु + व + ा + ं + श + ि + क् + अ + र + ि + त् + य + ा
अनुषंगाने,1,अ + न + ु + ष + ं + ग + ा + न + े
अनू,1,अ + न + ू
अनेक,46,अ + न + े + क् + अ
अनेकजण,2,अ + न + े + क् + अ + ज् + अ + ण् + अ
अनेकतत्त्ववाद,4,अ + न + े + क् + अ + त् + अ + त् + त् + व् + अ + व + ा + द् + अ
अनेकदा,6,अ + न + े + क् + अ + द + ा
अनेकवेळा,2,अ + न + े + क् + अ + व + े + ळ + ा
अनेकांचा,1,अ + न + े + क + ा + ं + च + ा
अनेकांची,1,अ + न + े + क + ा + ं + च + ी
अनेकांचे,3,अ + न + े + क + ा + ं + च + े
अनेकांच्या,2,अ + न + े + क + ा + ं + च् + य + ा
अनेकांना,1,अ + न + े + क + ा + ं + न + ा
अनेकांनी,2,अ + न + े + क + ा + ं + न + ी
अनेकांशी,1,अ + न + े + क + ा + ं + श + ी
अनोळखी,1,अ + न + ो + ळ् + अ + ख + ी
अन्न,1,अ + न् + न् + अ
अन्य,20,अ + न् + य् + अ
अन्यथा,2,अ + न् + य् + अ + थ + ा
अन्याय,2,अ + न् + य + ा + य् + अ
अन्यायाविरुद्ध,1,अ + न् + य + ा + य + ा + व + ि + र + ु + द् + ध् + अ
अन्वये,1,अ + न् + व् + अ + य + े
अन्वरा,1,अ + न् + व् + अ + र + ा
अन्सारी,5,अ + न् + स + ा + र + ी
अपक्ष,1,अ + प् + अ + क् + ष् + अ
अपक्षांचा,1,अ + प् + अ + क् + ष + ा + ं + च + ा
अपप्रचाराने,2,अ + प् + अ + प् + र् + अ + च + ा + र + ा + न + े
अपमान,3,अ + प् + अ + म + ा + न् + अ
अपयश,2,अ + प् + अ + य् + अ + श् + अ
अपयशाबद्दल,1,अ + प् + अ + य् + अ + श + ा + ब् + अ + द् + द् + अ + ल् + अ
अपयशी,2,अ + प् + अ + य् + अ + श + ी
अपहरण,4,अ + प् + अ + ह् + अ + र् + अ + ण् + अ
अपहरणकर्त्याची,1,अ + प् + अ + ह् + अ + र् + अ + ण् + अ + क् + अ + र् + त् + य + ा + च + ी
अपहरणकर्त्याच्या,1,अ + प् + अ + ह् + अ + र् + अ + ण् + अ + क् + अ + र् + त् + य + ा + च् + य + ा
अपहरणकर्त्याने,1,अ + प् + अ + ह् + अ + र् + अ + ण् + अ + क् + अ + र् + त् + य + ा + न + े
अपहरणाचा,2,अ + प् + अ + ह् + अ + र् + अ + ण + ा + च + ा
अपहरणानंतर,1,अ + प् + अ + ह् + अ + र् + अ + ण + ा + न + ं + त् + अ + र् + अ
अपहरणामागे,1,अ + प् + अ + ह् + अ + र् + अ + ण + ा + म + ा + ग + े
अपात्र,4,अ + प + ा + त् + र् + अ
अपिलांबाबत,1,अ + प + ि + ल + ा + ं + ब + ा + ब् + अ + त् + अ
अपिलांमध्ये,1,अ + प + ि + ल + ा + ं + म् + अ + ध् + य + े
अपेक्षा,7,अ + प + े + क् + ष + ा
अपेक्षित,5,अ + प + े + क् + ष + ि + त् + अ
अप्रत्यक्ष,2,अ + प् + र् + अ + त् + य् + अ + क् + ष् + अ
अप्रत्यक्षपणे,1,अ + प् + र् + अ + त् + य् + अ + क् + ष् + अ + प् + अ + ण + े
अफगाण,1,अ + फ् + अ + ग + ा + ण् + अ
अफगाणिस्तान,1,अ + फ् + अ + ग + ा + ण + ि + स् + त + ा + न् + अ
अफगाणिस्तानात,2,अ + फ् + अ + ग + ा + ण + ि + स् + त + ा + न + ा + त् + अ
अफरातफर,1,अ + फ् + अ + र + ा + त् + अ + फ् + अ + र् + अ
अबकारी,2,अ + ब् + अ + क + ा + र + ी
अब्ज,1,अ + ब् + ज् + अ
अब्दुल,6,अ + ब् + द + ु + ल् + अ
अब्दुलअझीझ,2,अ + ब् + द + ु + ल + अ + झ + ी + झ् + अ
अब्दुलाझिज,1,अ + ब् + द + ु + ल + ा + झ + ि + ज् + अ
अब्दुल्ला,4,अ + ब् + द + ु + ल् + ल + ा
अब्बास,2,अ + ब् + ब + ा + स् + अ
अभ,1,अ + भ् + अ
अभयारण्ये,1,अ + भ् + अ + य + ा + र् + अ + ण् + य + े
अभाअद्रमुकच्या,1,अ + भ + ा + अ + द् + र् + अ + म + ु + क् + अ + च् + य + ा
अभिनंदन,3,अ + भ + ि + न + ं + द् + अ + न् + अ
अभिनय,1,अ + भ + ि + न् + अ + य् + अ
अभिनेता,1,अ + भ + ि + न + े + त + ा
अभिनेते,3,अ + भ + ि + न + े + त + े
अभियांत्रिकी,2,अ + भ + ि + य + ा + ं + त् + र + ि + क + ी
अभियान,2,अ + भ + ि + य + ा + न् + अ
अभियानचे,2,अ + भ + ि + य + ा + न् + अ + च + े
अभियानाचे,1,अ + भ + ि + य + ा + न + ा + च + े
अभिलेख,1,अ + भ + ि + ल + े + ख् + अ
अभिवादन,2,अ + भ + ि + व + ा + द् + अ + न् + अ
अभिवादनही,1,अ + भ + ि + व + ा + द् + अ + न् + अ + ह + ी
अभिव्यक्ती,9,अ + भ + ि + व् + य् + अ + क् + त + ी
अभिषेक,5,अ + भ + ि + ष + े + क् + अ
अभूतपूर्व,1,अ + भ + ू + त् + अ + प + ू + र् + व् + अ
अभ्यास,2,अ + भ् + य + ा + स् + अ
अमर,1,अ + म् + अ + र् + अ
अमरसिंह,3,अ + म् + अ + र् + अ + स + ि + ं + ह् + अ
अमरिंदरसिंग,2,अ + म् + अ + र + ि + ं + द् + अ + र् + अ + स + ि + ं + ग् + अ
अमलात,2,अ + म् + अ + ल + ा + त् + अ
अमली,1,अ + म् + अ + ल + ी
अमायकस,1,अ + म + ा + य् + अ + क् + अ + स् + अ
अमारिलो,1,अ + म + ा + र + ि + ल + ो
अमित,15,अ + म + ि + त् + अ
अमिताभ,7,अ + म + ि + त + ा + भ् + अ
अमिरातीची,2,अ + म + ि + र + ा + त + ी + च + ी
अमुक,3,अ + म + ु + क् + अ
अमूल्य,1,अ + म + ू + ल् + य् + अ
अमेरिकन,2,अ + म + े + र + ि + क् + अ + न् + अ
अमेरिका,17,अ + म + े + र + ि + क + ा
अमेरिकी,14,अ + म + े + र + ि + क + ी
अमेरिकेकडून,1,अ + म + े + र + ि + क + े + क् + अ + ड + ू + न् + अ
अमेरिकेचा,4,अ + म + े + र + ि + क + े + च + ा
अमेरिकेची,3,अ + म + े + र + ि + क + े + च + ी
अमेरिकेचे,13,अ + म + े + र + ि + क + े + च + े
अमेरिकेच्या,7,अ + म + े + र + ि + क + े + च् + य + ा
अमेरिकेत,4,अ + म + े + र + ि + क + े + त् + अ
अमेरिकेतील,8,अ + म + े + र + ि + क + े + त + ी + ल् + अ
अमेरिकेने,4,अ + म + े + र + ि + क + े + न + े
अमेरिकेला,1,अ + म + े + र + ि + क + े + ल + ा
अमेरिकेलाही,2,अ + म + े + र + ि + क + े + ल + ा + ह + ी
अमेरिकेसह,1,अ + म + े + र + ि + क + े + स् + अ + ह् + अ
अयोग्य,2,अ + य + ो + ग् + य् + अ
अरब,2,अ + र् + अ + ब् + अ
अरबी,1,अ + र् + अ + ब + ी
अरविंद,18,अ + र् + अ + व + ि + ं + द् + अ
अरुंद,1,अ + र + ु + ं + द् + अ
अरुण,9,अ + र + ु + ण् + अ
अरुणकुमार,2,अ + र + ु + ण् + अ + क + ु + म + ा + र् + अ
अरुणाचल,2,अ + र + ु + ण + ा + च् + अ + ल् + अ
अरुणाचलच्या,1,अ + र + ु + ण + ा + च् + अ + ल् + अ + च् + य + ा
अरूण,4,अ + र + ू + ण् + अ
अरेबिया,2,अ + र + े + ब + ि + य + ा
अरेबियाची,1,अ + र + े + ब + ि + य + ा + च + ी
अरेबियाचे,1,अ + र + े + ब + ि + य + ा + च + े
अरेबियाच्या,5,अ + र + े + ब + ि + य + ा + च् + य + ा
अरेबियात,1,अ + र + े + ब + ि + य + ा + त् + अ
अरेबियामध्ये,3,अ + र + े + ब + ि + य + ा + म् + अ + ध् + य + े
अरेबियाला,2,अ + र + े + ब + ि + य + ा + ल + ा
अरेबियाशी,1,अ + र + े + ब + ि + य + ा + श + ी
अर्ज,9,अ + र् + ज् + अ
अर्जदार,1,अ + र् + ज् + अ + द + ा + र् + अ
अर्जदाराने,2,अ + र् + ज् + अ + द + ा + र + ा + न + े
अर्जात,1,अ + र् + ज + ा + त् + अ
अर्जुनसिंह,2,अ + र् + ज + ु + न् + अ + स + ि + ं + ह् + अ
अर्थ,9,अ + र् + थ् + अ
अर्थकारणाला,2,अ + र् + थ् + अ + क + ा + र् + अ + ण + ा + ल + ा
अर्थमंत्री,13,अ + र् + थ् + अ + म + ं + त् + र + ी
अर्थव्यवस्था,2,अ + र् + थ् + अ + व् + य् + अ + व् + अ + स् + थ + ा
अर्थव्यवस्थेला,1,अ + र् + थ् + अ + व् + य् + अ + व् + अ + स् + थ + े + ल + ा
अर्थव्यवस्थेवरही,1,अ + र् + थ् + अ + व् + य् + अ + व् + अ + स् + थ + े + व् + अ + र् + अ + ह + ी
अर्थसंकल्प,6,अ + र् + थ् + अ + स + ं + क् + अ + ल् + प् + अ
अर्थसंकल्पीय,4,अ + र् + थ् + अ + स + ं + क् + अ + ल् + प + ी + य् + अ
अर्थसचिव,1,अ + र् + थ् + अ + स् + अ + च + ि + व् + अ
अर्थात,2,अ + र् + थ + ा + त् + अ
अर्पण,1,अ + र् + प् + अ + ण् + अ
अर्बन,1,अ + र् + ब् + अ + न् + अ
अल,4,अ + ल् + अ
अलकायदाविरोधात,1,अ + ल् + अ + क + ा + य् + अ + द + ा + व + ि + र + ो + ध + ा + त् + अ
अलसौद,1,अ + ल् + अ + स + ौ + द् + अ
अलिकडे,1,अ + ल + ि + क् + अ + ड + े
अलिकडेच,1,अ + ल + ि + क् + अ + ड + े + च् + अ
अली,2,अ + ल + ी
अलीकडे,2,अ + ल + ी + क् + अ + ड + े
अलीकडेच,4,अ + ल + ी + क् + अ + ड + े + च् + अ
अलेक्झांड्रिया,1,अ + ल + े + क् + झ + ा + ं + ड् + र + ि + य + ा
अलेक्झांड्रियाहून,1,अ + ल + े + क् + झ + ा + ं + ड् + र + ि + य + ा + ह + ू + न् + अ
अल्ट्रा,1,अ + ल् + ट् + र + ा
अल्ताफ,1,अ + ल् + त + ा + फ् + अ
अवघड,2,अ + व् + अ + घ् + अ + ड् + अ
अवतरलं,2,अ + व् + अ + त् + अ + र् + अ + ल + ं
अवधी,1,अ + व् + अ + ध + ी
अवमान,4,अ + व् + अ + म + ा + न् + अ
अवमानकारक,1,अ + व् + अ + म + ा + न् + अ + क + ा + र् + अ + क् + अ
अवमानाची,1,अ + व् + अ + म + ा + न + ा + च + ी
अवमानाच्या,1,अ + व् + अ + म + ा + न + ा + च् + य + ा
अवर्जून,1,अ + व् + अ + र् + ज + ू + न् + अ
अवलंब,2,अ + व् + अ + ल + ं + ब् + अ
अवलंबित,1,अ + व् + अ + ल + ं + ब + ि + त् + अ
अवलंबीत,1,अ + व् + अ + ल + ं + ब + ी + त् + अ
अवस्था,1,अ + व् + अ + स् + थ + ा
अवस्थेत,1,अ + व् + अ + स् + थ + े + त् + अ
अवास्तव,1,अ + व + ा + स् + त् + अ + व् + अ
अविश्रांत,1,अ + व + ि + श् + र + ा + ं + त् + अ
अविश्वास,1,अ + व + ि + श् + व + ा + स् + अ
अविश्वासाचा,2,अ + व + ि + श् + व + ा + स + ा + च + ा
अवैध,2,अ + व + ै + ध् + अ
अशल्याचा,1,अ + श् + अ + ल् + य + ा + च + ा
अशा,32,अ + श + ा
अशाप्रकारचं,1,अ + श + ा + प् + र् + अ + क + ा + र् + अ + च + ं
अशाप्रकारचा,2,अ + श + ा + प् + र् + अ + क + ा + र् + अ + च + ा
अशी,66,अ + श + ी
अशीच,1,अ + श + ी + च् + अ
अशे,1,अ + श + े
अशोक,1,अ + श + ो + क् + अ
असं,2,अ + स + ं
असंतोष,2,अ + स + ं + त + ो + ष् + अ
असणार,3,अ + स् + अ + ण + ा + र् + अ
असणारे,1,अ + स् + अ + ण + ा + र + े
असणे,1,अ + स् + अ + ण + े
असण्याची,1,अ + स् + अ + ण् + य + ा + च + ी
असत,11,अ + स् + अ + त् + अ
असता,6,अ + स् + अ + त + ा
असतात,3,अ + स् + अ + त + ा + त् + अ
असतान,4,अ + स् + अ + त + ा + न् + अ
असताना,32,अ + स् + अ + त + ा + न + ा
असतानाच,3,अ + स् + अ + त + ा + न + ा + च् + अ
असतानादेखील,1,अ + स् + अ + त + ा + न + ा + द + े + ख + ी + ल् + अ
असतानाही,5,अ + स् + अ + त + ा + न + ा + ह + ी
असती,5,अ + स् + अ + त + ी
असतील,3,अ + स् + अ + त + ी + ल् + अ
असते,2,अ + स् + अ + त + े
असत्य,2,अ + स् + अ + त् + य् + अ
असद,1,अ + स् + अ + द् + अ
असमानता,1,अ + स् + अ + म + ा + न् + अ + त + ा
असमानतेचा,1,अ + स् + अ + म + ा + न् + अ + त + े + च + ा
असल,1,अ + स् + अ + ल् + अ
असला,7,अ + स् + अ + ल + ा
असलाच,1,अ + स् + अ + ल + ा + च् + अ
असली,5,अ + स् + अ + ल + ी
असले,13,अ + स् + अ + ल + े
असलेला,8,अ + स् + अ + ल + े + ल + ा
असलेली,5,अ + स् + अ + ल + े + ल + ी
असलेले,18,अ + स् + अ + ल + े + ल + े
असलेल्या,81,अ + स् + अ + ल + े + ल् + य + ा
असलेल्यांना,1,अ + स् + अ + ल + े + ल् + य + ा + ं + न + ा
असलेल्यांविरुद्ध,2,अ + स् + अ + ल + े + ल् + य + ा + ं + व + ि + र + ु + द् + ध् + अ
असल्याच,1,अ + स् + अ + ल् + य + ा + च् + अ
असल्याचं,1,अ + स् + अ + ल् + य + ा + च + ं
असल्याचा,31,अ + स् + अ + ल् + य + ा + च + ा
असल्याची,21,अ + स् + अ + ल् + य + ा + च + ी
असल्याचे,111,अ + स् + अ + ल् + य + ा + च + े
असल्याचेच,1,अ + स् + अ + ल् + य + ा + च + े + च् + अ
असल्याचेही,10,अ + स् + अ + ल् + य + ा + च + े + ह + ी
असल्याच्या,2,अ + स् + अ + ल् + य + ा + च् + य + ा
असल्याने,18,अ + स् + अ + ल् + य + ा + न + े
असल्याबद्दल,2,अ + स् + अ + ल् + य + ा + ब् + अ + द् + द् + अ + ल् + अ
असल्याबाबत,1,अ + स् + अ + ल् + य + ा + ब + ा + ब् + अ + त् + अ
असल्यामुळे,2,अ + स् + अ + ल् + य + ा + म + ु + ळ + े
असल्यावर,1,अ + स् + अ + ल् + य + ा + व् + अ + र् + अ
असल्यास,2,अ + स् + अ + ल् + य + ा + स् + अ
असहिष्णुतेचे,1,अ + स् + अ + ह + ि + ष् + ण + ु + त + े + च + े
असा,76,अ + स + ा
असांज,9,अ + स + ा + ं + ज् + अ
असाउद्दीन,1,अ + स + ा + उ + द् + द + ी + न् + अ
असाच,1,अ + स + ा + च् + अ
असामींनी,1,अ + स + ा + म + ी + ं + न + ी
असायला,1,अ + स + ा + य् + अ + ल + ा
असाव,1,अ + स + ा + व् + अ
असावयास,1,अ + स + ा + व् + अ + य + ा + स् + अ
असावा,2,अ + स + ा + व + ा
असावी,2,अ + स + ा + व + ी
असावेत,1,अ + स + ा + व + े + त् + अ
असाही,1,अ + स + ा + ह + ी
असू,39,अ + स + ू
